gene,pvalue,log10pvalue,LOG2 foldchange of130N Sample
TIMM13,0.998651787,0.000585917,0.002544019
UQCRC1,0.888173752,0.051502066,0.202703325
IARS2,0.61842632,0.208712036,0.6385353
STAU1,0.83865894,0.076414619,-0.190667319
TOR1AIP1,0.885792014,0.05266824,-0.153842748
RBBP7,0.726083954,0.139013161,-0.215987114
RBBP4,0.695894973,0.157456301,-0.30317332
PSMD6,0.955822523,0.01962274,-0.032579973
PRPF19,0.804948536,0.094231885,-0.150814807
RPL17-C18orf32,0.972541961,0.012091652,-0.013664424
LAMC1,0.907809586,0.042005235,-0.073951801
CNBP,0.51075974,0.291783343,-0.603445928
IPO7,0.964660676,0.015625425,0.062667765
MYL6,0.762468965,0.117777829,-0.143375181
PTMS,0.700522481,0.154577923,-0.433166345
SF3A3,0.648255296,0.188253927,-0.28807854
ZC3H18,0.416207445,0.380690155,-0.659984448
GRPEL1,0.910372978,0.040780642,-0.053248456
CCDC124,0.529819566,0.275872007,-0.494043464
VAPB,0.868335887,0.06131225,0.19981423
PPME1,0.314589063,0.502256381,0.49808566
GPD2,0.741927262,0.129638671,0.194379662
KLC2,0.340939993,0.467322052,0.271846218
DNTTIP2,0.865074731,0.062946374,-0.169505908
EIF2A,0.87293378,0.0590187,-0.174184018
EIF5,0.951842046,0.021435115,0.092566695
ACTR2,0.904019185,0.043822353,0.091306536
NUCB1,0.696744316,0.156926565,-0.278982277
PREP,0.707031034,0.150561523,0.361828096
TXNDC5,0.909468196,0.041212483,0.179793168
CLTA,0.781701364,0.10695913,0.086869462
RPS17,0.810428005,0.09128556,-0.17840785
SNX1,0.988767613,0.004905767,0.024433143
GLS,0.896103105,0.047642018,-0.186643542
GRHPR,0.693110732,0.159197377,0.359526701
HIBADH,0.72045507,0.142393098,0.312406013
TOP2B,0.917175508,0.037547551,0.07726929
RPS11,0.775836486,0.1102298,-0.181579189
RRS1,0.719912616,0.142720215,-0.387011566
RPL11,0.921223923,0.035634792,-0.115768112
ZFR,0.247834962,0.605837427,0.44371916
SERPINE2,0.005871541,2.231247883,1.026235747
PHLDB1,0.593161026,0.226827392,0.564942801
HMOX2,0.935450517,0.028979181,-0.139050041
HK2,0.759370861,0.119546072,0.176728273
